,EDITION,Year,Market,Newspaper,MarketAndNewspaper,TotalCirculation,Owner
211,Thursday,2017,brantford,"brantford expositor, your tmc newspaper","brantford expositor, your tmc newspaper",47465,postmedia network inc.
212,Thursday,2018,brantford,"brantford expositor, your tmc newspaper","brantford expositor, your tmc newspaper",47465,postmedia network inc.
213,Thursday,2019,brantford,"brantford expositor, your tmc newspaper","brantford expositor, your tmc newspaper",47465,postmedia network inc.
1167,Wednesday,2013,brantford,new credit reporter,brantford new credit reporter,2500,tekawennake publications
1168,Wednesday,2014,brantford,new credit reporter,brantford new credit reporter,2500,tekawennake publications
214,Thursday,2013,brighton&warkworth&campbellford,brighton independent,brighton independent,16983,metroland media group ltd.
215,Thursday,2014,brighton&warkworth&campbellford,brighton independent,brighton independent,16983,metroland media group ltd.
216,Thursday,2015,brighton&warkworth&campbellford,brighton independent,brighton independent,7775,metroland media group ltd.
217,Thursday,2016,brighton&warkworth&campbellford,brighton independent,brighton independent,7876,metroland media group ltd.
218,Thursday,2017,brighton&warkworth&campbellford,brighton independent,brighton independent,7874,metroland media group ltd.
219,Thursday,2018,brighton&warkworth&campbellford,brighton independent,brighton independent,7872,metroland media group ltd.
220,Thursday,2019,brighton&warkworth&campbellford,brighton independent,brighton independent,9064,metroland media group ltd.
221,Thursday,2013,brock,brock citizen,brock citizen,5497,metroland media group ltd.
222,Thursday,2014,brock,brock citizen,brock citizen,5442,metroland media group ltd.
223,Thursday,2015,brock,brock citizen,brock citizen,5442,metroland media group ltd.
224,Thursday,2016,brock,brock citizen,brock citizen,5442,metroland media group ltd.
225,Thursday,2017,brock,brock citizen,brock citizen,5442,metroland media group ltd.
226,Thursday,2018,brock,brock citizen,brock citizen,5442,metroland media group ltd.
227,Thursday,2019,brock,brock citizen,brock citizen,5442,metroland media group ltd.
228,Thursday,2013,brockville,st. lawrence news,brockville st. lawrence news,28135,metroland media group ltd.
2099,Thursday,2014,brockville,st. lawrence news,brockville st. lawrence news,29555,metroland media group ltd.
2100,Thursday,2015,brockville,st. lawrence news,brockville st. lawrence news,30529,metroland media group ltd.
2101,Thursday,2016,brockville,st. lawrence news,brockville st. lawrence news,30466,metroland media group ltd.
2102,Thursday,2017,brockville,st. lawrence news,brockville st. lawrence news,29397,metroland media group ltd.
236,Wednesday,2013,burford,burford times,burford times,2000,burford times
2235,Wednesday,2014,burford,burford times,burford times,2000,burford times
2236,Wednesday,2015,burford,burford times,burford times,2000,burford times
2237,Wednesday,2016,burford,burford times,burford times,2000,burford times
2238,Wednesday,2017,burford,burford times,burford times,2000,burford times
2239,Wednesday,2018,burford,burford times,burford times,2000,burford times
2240,Wednesday,2019,burford,burford times,burford times,2000,burford times
237,Thursday,2013,burks%20falls,almaguin news,burks falls almaguin news,2767,metroland media group ltd.
33,Thursday,2014,burks%20falls,almaguin news,burks falls almaguin news,2583,metroland media group ltd.
34,Thursday,2015,burks%20falls,almaguin news,burks falls almaguin news,2523,metroland media group ltd.
35,Thursday,2016,burks%20falls,almaguin news,burks falls almaguin news,2380,metroland media group ltd.
36,Thursday,2017,burks%20falls,almaguin news,burks falls almaguin news,2218,metroland media group ltd.
37,Thursday,2018,burks%20falls,almaguin news,burks falls almaguin news,1970,metroland media group ltd.
38,Thursday,2019,burks%20falls,almaguin news,burks falls almaguin news,1623,metroland media group ltd.
2224,Thursday,2013,burlington&hamilton,the bay observer,burlington hamilton the bay observer,28246,the bay observer
2225,Thursday,2014,burlington&hamilton,the bay observer,burlington hamilton the bay observer,28246,the bay observer
2226,Thursday,2015,burlington&hamilton,the bay observer,burlington hamilton the bay observer,30000,the bay observer
2227,Thursday,2016,burlington&hamilton,the bay observer,burlington hamilton the bay observer,30000,the bay observer
2228,Thursday,2017,burlington&hamilton,the bay observer,burlington hamilton the bay observer,30000,the bay observer
2229,Thursday,2018,burlington&hamilton,the bay observer,burlington hamilton the bay observer,30000,the bay observer
2230,Thursday,2019,burlington&hamilton,the bay observer,burlington hamilton the bay observer,30000,the bay observer
240,Friday,2013,burlington,burlington post,burlington post,49706,metroland media group ltd.
239,Thursday,2013,burlington,burlington post,burlington post,60980,metroland media group ltd.
238,Wednesday,2013,burlington,burlington post,burlington post,49570,metroland media group ltd.
243,Friday,2014,burlington,burlington post,burlington post,49583,metroland media group ltd.
241,Thursday,2014,burlington,burlington post,burlington post,60378,metroland media group ltd.
242,Wednesday,2014,burlington,burlington post,burlington post,38049,metroland media group ltd.
244,Friday,2015,burlington,burlington post,burlington post,49538,metroland media group ltd.
245,Thursday,2015,burlington,burlington post,burlington post,60274,metroland media group ltd.
246,Wednesday,2015,burlington,burlington post,burlington post,31884,metroland media group ltd.
247,Friday,2016,burlington,burlington post,burlington post,48790,metroland media group ltd.
249,Thursday,2016,burlington,burlington post,burlington post,59245,metroland media group ltd.
248,Wednesday,2016,burlington,burlington post,burlington post,31884,metroland media group ltd.
251,Friday,2017,burlington,burlington post,burlington post,48790,metroland media group ltd.
250,Thursday,2017,burlington,burlington post,burlington post,59245,metroland media group ltd.
252,Wednesday,2017,burlington,burlington post,burlington post,31884,metroland media group ltd.
253,Thursday,2018,burlington,burlington post,burlington post,59245,metroland media group ltd.
254,Thursday,2019,burlington,burlington post,burlington post,57093,metroland media group ltd.
