index,ID,Year,FreeCirculation,TotalCirculation,PaidCirculation,Swap2017Affected,Owner,AdvCirc,NatlLineRate,SpotColour,ProcessColour,MarketAndNewspaper,AdvNewspaper,Newspaper,CSDs,Year_only
397,227.0,2014,10936.0,10936.0,0.0,0.0,postmedia network inc.,11219.0,1.04,129.0,388.0,lasalle post,lasalle post,lasalle post,['LaSalle'],2014
398,227.0,2015,10653.0,10653.0,0.0,0.0,postmedia network inc.,11219.0,1.08,136.0,408.0,lasalle post,lasalle post,lasalle post,['LaSalle'],2015
399,227.0,2016,10370.0,10370.0,0.0,0.0,postmedia network inc.,11219.0,1.08,136.0,408.0,lasalle post,lasalle post,lasalle post,['LaSalle'],2016
400,227.0,2017,10087.0,10087.0,0.0,0.0,postmedia network inc.,11219.0,1.14,136.0,428.0,lasalle post,lasalle post,lasalle post,['LaSalle'],2017
401,227.0,2018,9804.0,9804.0,0.0,0.0,postmedia network inc.,11219.0,1.25,136.0,428.0,lasalle post,lasalle post,lasalle post,['LaSalle'],2018
402,227.0,2019,9804.0,9804.0,0.0,0.0,postmedia network inc.,11219.0,1.25,136.0,428.0,lasalle post,lasalle post,lasalle post,['LaSalle'],2019
445,256.0,2015,197792.0,197792.0,0.0,0.0,metroland media group ltd.,125582.0,9.64,1160.0,1160.0,mississauga news,mississauga news,mississauga news,['Mississauga'],2015
446,256.0,2016,197547.0,197547.0,0.0,0.0,metroland media group ltd.,125582.0,9.64,1160.0,1160.0,mississauga news,mississauga news,mississauga news,['Mississauga'],2016
447,256.0,2017,187392.33333333334,187392.33333333334,0.0,0.0,metroland media group ltd.,165000.0,9.64,1160.0,1160.0,mississauga news,mississauga news,mississauga news,['Mississauga'],2017
448,256.0,2018,177237.66666666666,177237.66666666666,0.0,0.0,metroland media group ltd.,165000.0,9.64,1160.0,1160.0,mississauga news,mississauga news,mississauga news,['Mississauga'],2018
