,FreeCirculation,EDITION,Format,Year,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants
2162,44065,Sunday,T,2017,vaughan,tandem,vaughan tandem,0,ON,44065,vaughan tandem,"['vaughan ,ON, Canada']",306233.0,288301.0,6.2,96657.0,94253.0,1119.4,273.56,39.2,246655.0,43720.0,61895.0,141050.0,7015.0,79310.0,246655.0,234815.0,35540.0,304145.0,159300.0,140960.0
2163,0,Wednesday,T,2013,tavistock,tavistock gazette,tavistock gazette ltd.,1261,ON,1261,tavistock gazette ltd.,"['tavistock ,ON, Canada']",7129.0,6836.0,4.3,2774.0,2703.0,29.4,242.3,42.4,5755.0,1290.0,1640.0,2830.0,135.0,630.0,5760.0,5605.0,38279.0,6945.0,6430.0,520.0
2164,2,Wednesday,T,2018,tavistock,tavistock gazette,tavistock gazette ltd.,1169,ON,1171,tavistock gazette ltd.,"['tavistock ,ON, Canada']",7129.0,6836.0,4.3,2774.0,2703.0,29.4,242.3,42.4,5755.0,1290.0,1640.0,2830.0,135.0,630.0,5760.0,5605.0,38279.0,6945.0,6430.0,520.0
2165,2,Wednesday,T,2019,tavistock,tavistock gazette,tavistock gazette ltd.,1160,ON,1162,tavistock gazette ltd.,"['tavistock ,ON, Canada']",7129.0,6836.0,4.3,2774.0,2703.0,29.4,242.3,42.4,5755.0,1290.0,1640.0,2830.0,135.0,630.0,5760.0,5605.0,38279.0,6945.0,6430.0,520.0
2166,17312,Friday,T,2013,tecumseh&st.%20clair%20beach&windsor,tecumseh/st. clair beach/windsor shoreline week,postmedia network inc.,0,ON,17312,postmedia network inc.,"['tecumseh ,ON, Canada', 'st. clair beach ,ON, Canada', 'windsor ,ON, Canada']",87882.0,86037.0,-0.06666666666666672,38583.666666666664,36466.666666666664,658.2,111.88666666666666,42.6,72558.33333333333,13016.666666666666,22740.0,36801.666666666664,1416.6666666666667,15558.333333333334,72550.0,68938.33333333333,37914.0,86706.66666666667,62858.333333333336,22505.0
2167,54,Wednesday,B,2013,new%20liskeard,temiskaming speaker,london publishing corporation,3446,ON,3500,london publishing corporation,"['new liskeard ,ON, Canada']",9920.0,10400.0,-4.6,4673.0,4379.0,55.7,178.11,44.5,8170.0,2015.0,2125.0,4035.0,155.0,1090.0,8205.0,7975.0,32142.0,9680.0,9375.0,280.0
2168,54,Wednesday,B,2014,new%20liskeard,temiskaming speaker,london publishing corporation,3262,ON,3316,london publishing corporation,"['new liskeard ,ON, Canada']",9920.0,10400.0,-4.6,4673.0,4379.0,55.7,178.11,44.5,8170.0,2015.0,2125.0,4035.0,155.0,1090.0,8205.0,7975.0,32142.0,9680.0,9375.0,280.0
2169,54,Wednesday,B,2015,new%20liskeard,temiskaming speaker,london publishing corporation,3024,ON,3078,london publishing corporation,"['new liskeard ,ON, Canada']",9920.0,10400.0,-4.6,4673.0,4379.0,55.7,178.11,44.5,8170.0,2015.0,2125.0,4035.0,155.0,1090.0,8205.0,7975.0,32142.0,9680.0,9375.0,280.0
2170,138,Wednesday,B,2016,new%20liskeard,temiskaming speaker,london publishing corporation,3021,ON,3159,london publishing corporation,"['new liskeard ,ON, Canada']",9920.0,10400.0,-4.6,4673.0,4379.0,55.7,178.11,44.5,8170.0,2015.0,2125.0,4035.0,155.0,1090.0,8205.0,7975.0,32142.0,9680.0,9375.0,280.0
2171,106,Wednesday,B,2017,new%20liskeard,temiskaming speaker,london publishing corporation,2859,ON,2965,london publishing corporation,"['new liskeard ,ON, Canada']",9920.0,10400.0,-4.6,4673.0,4379.0,55.7,178.11,44.5,8170.0,2015.0,2125.0,4035.0,155.0,1090.0,8205.0,7975.0,32142.0,9680.0,9375.0,280.0
