,Address,Longitude,Latitude,CSDUID,CSDNAME,CSDTYPE,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE
2652,"hanover ,ON, Canada",-81.0279572,44.1520712,3542029,Hanover,T,35,Ontario,3542,Grey,CTY,3542004,West Grey,3580,Stratford--Bruce Peninsula,997,5,,,,
2540,"grimsby ,ON, Canada",-79.560677,43.1931661,3526065,Grimsby,T,35,Ontario,3526,Niagara,RM,3526065,Grimsby,3550,Hamilton--Niagara Peninsula,537,1,537,35537,Hamilton,B
2539,"lincoln ,ON, Canada",-79.41600689,43.17354975,3526057,Lincoln,T,35,Ontario,3526,Niagara,RM,3526057,Lincoln,3550,Hamilton--Niagara Peninsula,539,1,539,35539,St. Catharines - Niagara,B
2140,"cfsu ottawa ,ON, Canada",-75.67750546,45.3278795,3506008,Ottawa,CV,35,Ontario,3506,Ottawa,CDR,3506008,Ottawa,3510,Ottawa,505,1,505,35505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B
2284,"guelph ,ON, Canada",-80.2493276,43.5460516,3523008,Guelph,CY,35,Ontario,3523,Wellington,CTY,3523009,Guelph/Eramosa,3540,Kitchener--Waterloo--Barrie,550,1,550,35550,Guelph,B
2254,"watford ,ON, Canada",-81.8802713,42.9480988,3538043,Warwick,TP,35,Ontario,3538,Lambton,CTY,3538043,Warwick,3570,Windsor--Sarnia,996,4,,,,
2541,"hagersville ,ON, Canada",-80.0517133,42.961976,3528018,Haldimand County,CY,35,Ontario,3528,Haldimand-Norfolk,CDR,3528018,Haldimand County,3550,Hamilton--Niagara Peninsula,996,4,,,,
2541,"cayuga ,ON, Canada",-79.8585358,42.9497266,3528018,Haldimand County,CY,35,Ontario,3528,Haldimand-Norfolk,CDR,3528018,Haldimand County,3550,Hamilton--Niagara Peninsula,996,4,,,,
2503,"hamilton ,ON, Canada",-79.8728583,43.2560802,3525005,Hamilton,C,35,Ontario,3525,Hamilton,CDR,3525005,Hamilton,3550,Hamilton--Niagara Peninsula,537,1,537,35537,Hamilton,B
2708,"thamesville ,ON, Canada",-81.9771193,42.5518069,3536020,Chatham-Kent,MU,35,Ontario,3536,Chatham-Kent,CDR,3536020,Chatham-Kent,3570,Windsor--Sarnia,556,3,556,35556,Chatham-Kent,D
2424,"wilberforce ,ON, Canada",-78.2229057,45.0369198,3546005,Highlands East,MU,35,Ontario,3546,Haliburton,CTY,3546005,Highlands East,3520,Muskoka--Kawarthas,997,5,,,,
2572,"kapuskasing ,ON, Canada",-82.433333,49.416667,3556066,Kapuskasing,T,35,Ontario,3556,Cochrane,DIS,3556092,"Cochrane, Unorganized, North Part",3590,Northeast / Nord-est,998,6,,,,
2420,"huntsville ,ON, Canada",-79.218434,45.3263919,3544042,Huntsville,T,35,Ontario,3544,Muskoka,DM,3544042,Huntsville,3520,Muskoka--Kawarthas,998,6,,,,
2649,"seaforth ,ON, Canada",-81.3934183,43.5534328,3540040,Huron East,MU,35,Ontario,3540,Huron,CTY,3540040,Huron East,3580,Stratford--Bruce Peninsula,997,5,,,,
2505,"port colborne ,ON, Canada",-79.2513905,42.8862392,3526011,Port Colborne,CY,35,Ontario,3526,Niagara,RM,3526011,Port Colborne,3550,Hamilton--Niagara Peninsula,539,1,539,35539,St. Catharines - Niagara,B
2685,"st. marys ,ON, Canada",-81.1408629,43.2570855,3531016,St. Marys,T,35,Ontario,3531,Perth,CTY,3531013,Perth South,3580,Stratford--Bruce Peninsula,996,4,,,,
2708,"ridgetown ,ON, Canada",-81.8821334,42.4394208,3536020,Chatham-Kent,MU,35,Ontario,3536,Chatham-Kent,CDR,3536020,Chatham-Kent,3570,Windsor--Sarnia,556,3,556,35556,Chatham-Kent,D
2662,"tillsonburg ,ON, Canada",-80.7265015,42.859494,3532004,Tillsonburg,T,35,Ontario,3532,Oxford,CTY,3532012,South-West Oxford,3560,London,546,3,546,35546,Tillsonburg,D
2696,"ingersoll ,ON, Canada",-80.88211,43.037725,3532018,Ingersoll,T,35,Ontario,3532,Oxford,CTY,3532012,South-West Oxford,3560,London,533,3,533,35533,Ingersoll,D
2394,"innisfil ,ON, Canada",-79.5461073,44.3150892,3543017,Innisfil,T,35,Ontario,3543,Simcoe,CTY,3543017,Innisfil,3540,Kitchener--Waterloo--Barrie,568,1,568,35568,Barrie,B
2023,"hornepayne ,ON, Canada",-84.7752864,49.2181387,3557096,Hornepayne,TP,35,Ontario,3557,Algoma,DIS,3557095,"Algoma, Unorganized, North Part",3590,Northeast / Nord-est,998,6,,,,
2708,"wheatley ,ON, Canada",-82.4630203,42.0950707,3536020,Chatham-Kent,MU,35,Ontario,3536,Chatham-Kent,CDR,3536020,Chatham-Kent,3570,Windsor--Sarnia,556,3,556,35556,Chatham-Kent,D
2140,"kanata ,ON, Canada",-75.8940505,45.3128048,3506008,Ottawa,CV,35,Ontario,3506,Ottawa,CDR,3506008,Ottawa,3510,Ottawa,505,1,505,35505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B
2165,"kemptville ,ON, Canada",-75.644567,45.0154164,3507065,North Grenville,MU,35,Ontario,3507,Leeds and Grenville,UC,3507065,North Grenville,3510,Ottawa,505,1,505,35505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B
2598,"kenora ,ON, Canada",-89.1618188,54.0245941,3560090,"Kenora, Unorganized",NO,35,Ontario,3560,Kenora,DIS,3560090,"Kenora, Unorganized",3595,Northwest / Nord-ouest,997,5,,,,
2641,"kincardine ,ON, Canada",-81.6348713,44.1776378,3541024,Kincardine,MU,35,Ontario,3541,Bruce,CTY,3541024,Kincardine,3580,Stratford--Bruce Peninsula,998,6,,,,
1825,"king township ,ON, Canada",-79.51742858,43.93160955,3519049,King,TP,35,Ontario,3519,York,RM,3519049,King,3530,Toronto,535,1,535,35535,Toronto,B
1829,"king ,ON, Canada",-79.3777538,43.6489494,3520005,Toronto,C,35,Ontario,3520,Toronto,CDR,3520005,Toronto,3530,Toronto,535,1,535,35535,Toronto,B
2181,"kingston ,ON, Canada",-76.481323,44.230687,3510010,Kingston,CY,35,Ontario,3510,Frontenac,CTY,3510010,Kingston,3515,Kingston--Pembroke,521,1,521,35521,Kingston,B
2402,"kingsville ,ON, Canada",-82.7396606,42.0378963,3537013,Kingsville,T,35,Ontario,3537,Essex,CTY,3537013,Kingsville,3570,Windsor--Sarnia,557,3,557,35557,Leamington,D
2667,"kitchener ,ON, Canada",-80.4927815,43.451291,3530013,Kitchener,CY,35,Ontario,3530,Waterloo,RM,3530013,Kitchener,3540,Kitchener--Waterloo--Barrie,541,1,541,35541,Kitchener - Cambridge - Waterloo,B
